step,kl_loss
0,8.75
1,7.90625
2,6.90625
3,9.5625
4,8.25
5,9.375
6,10.1875
7,10.625
8,8.3125
9,8.1875
10,5.96875
11,7.3125
12,9.0625
13,9.25
14,8.625
15,8.8125
16,11.9375
17,8.625
18,8.25
19,11.0625
20,10.5
21,7.25
22,10.75
23,5.1875
24,6.78125
25,7.5625
26,8.375
27,6.65625
28,9.625
29,8.75
30,6.375
31,7.34375
32,8.5
33,7.5
34,9.375
35,7.1875
36,8.4375
37,6.09375
38,8.0625
39,8.75
40,8.625
41,8.75
42,8.25
43,10.625
44,8.125
45,7.5
46,9.25
47,5.625
48,10.125
49,7.3125
50,6.53125
51,8.5
52,7.5
53,6.6875
54,9.3125
55,10.1875
56,8.25
57,7.625
58,8.3125
59,9.375
60,9.8125
61,7.53125
62,9.125
63,8.875
64,8.9375
65,7.09375
66,7.875
67,8.3125
68,8.875
69,7.90625
70,9.25
71,7.21875
72,6.875
73,6.90625
74,6.40625
75,8.625
76,8.8125
77,9.0625
78,5.84375
79,9.25
80,9.0625
81,6.125
82,6.90625
83,8.4375
84,8.6875
85,8.4375
86,9.9375
87,7.75
88,10.0
89,9.875
90,6.53125
91,7.125
92,7.0
93,7.65625
94,10.4375
95,9.6875
96,9.375
97,9.125
98,8.875
99,10.25
100,7.78125
101,6.90625
102,9.3125
103,9.1875
104,8.375
105,8.375
106,8.875
107,9.625
108,6.09375
109,8.5625
110,8.5625
111,9.375
112,9.75
113,8.625
114,10.875
115,10.5
116,8.875
117,8.9375
118,10.1875
119,8.875
120,6.15625
121,8.6875
122,7.96875
123,8.8125
124,6.8125
125,8.5625
126,9.9375
127,7.0625
128,7.0
129,7.5
130,7.5
131,10.0625
132,7.90625
133,9.1875
134,8.1875
135,4.96875
136,8.75
137,8.1875
138,11.125
139,10.5
140,8.75
141,7.375
142,6.4375
143,8.875
144,7.125
145,8.6875
146,9.25
147,7.71875
148,6.75
149,7.3125
150,8.125
151,9.125
152,8.0625
153,8.3125
154,9.125
155,9.875
156,7.0
157,7.75
158,9.3125
159,8.1875
160,5.875
161,7.65625
162,9.875
163,8.5625
164,7.1875
165,8.625
166,6.625
167,8.4375
168,8.375
169,7.21875
170,8.9375
171,6.65625
172,7.03125
173,8.8125
174,8.25
175,7.28125
176,6.46875
177,7.5625
178,9.1875
179,8.0
180,8.1875
181,7.875
182,8.8125
183,9.5
184,6.59375
185,6.375
186,8.3125
187,8.0625
188,5.96875
189,8.0625
190,9.0
191,7.5
192,8.3125
193,7.75
194,5.65625
195,6.3125
196,8.75
197,7.96875
198,6.78125
199,6.75
200,9.5
201,6.6875
202,7.90625
203,9.6875
204,6.40625
205,7.40625
206,8.9375
207,6.34375
208,7.5625
209,8.625
210,8.875
211,9.4375
212,6.71875
213,7.5625
214,7.78125
215,7.90625
216,7.28125
217,10.375
218,9.0
219,7.71875
220,9.5
221,9.625
222,9.8125
223,5.71875
224,8.0
225,5.84375
226,5.125
227,9.75
228,9.3125
229,5.4375
230,8.0625
231,5.09375
232,10.1875
233,9.375
234,7.71875
235,7.8125
236,6.875
237,7.96875
238,8.5
239,6.4375
240,7.8125
241,8.875
242,6.375
243,6.46875
244,6.21875
245,6.78125
246,9.0
247,9.4375
248,8.3125
249,6.3125
250,6.15625
251,8.125
252,6.59375
253,7.03125
254,7.1875
255,6.0625
256,9.8125
257,7.96875
258,7.6875
259,9.5625
260,9.25
261,8.5
262,9.625
263,6.375
264,7.90625
265,7.34375
266,5.625
267,7.75
268,6.53125
269,6.75
270,7.375
271,6.0625
272,8.875
273,8.3125
274,8.375
275,9.0
276,7.40625
277,8.375
278,8.4375
279,11.0
280,5.25
281,6.78125
282,9.6875
283,8.9375
284,6.21875
285,7.28125
286,8.5625
287,8.8125
288,6.0
289,8.3125
290,7.90625
291,8.1875
292,9.375
293,8.8125
294,8.125
295,7.21875
296,7.90625
297,4.75
298,8.1875
299,7.53125
300,7.8125
301,7.71875
302,7.65625
303,10.375
304,6.71875
305,6.34375
306,9.6875
307,7.9375
308,7.375
309,7.78125
310,8.5
311,7.34375
312,9.1875
313,7.09375
314,7.40625
315,9.25
316,7.46875
317,7.125
318,6.8125
319,8.0
320,8.75
321,7.59375
322,9.1875
323,8.6875
324,7.15625
325,9.0625
326,6.71875
327,7.8125
328,8.0625
329,8.25
330,6.28125
331,6.9375
332,9.5
333,9.6875
334,5.75
335,7.65625
336,8.75
337,7.5625
338,10.1875
339,10.625
340,6.9375
341,6.75
342,10.8125
343,8.8125
344,6.625
345,7.3125
346,8.625
347,9.0
348,8.375
349,6.21875
350,8.1875
351,5.28125
352,9.375
353,8.0625
354,9.1875
355,8.0625
356,7.90625
357,8.0625
358,7.21875
359,7.34375
360,7.875
361,10.6875
362,8.75
363,10.625
364,7.25
365,8.1875
366,7.1875
367,7.25
368,6.28125
369,9.8125
370,7.0
371,8.25
372,6.03125
373,8.6875
374,7.65625
375,9.5
376,9.3125
377,8.5625
378,10.625
379,9.375
380,6.625
381,7.84375
382,8.5
383,6.9375
384,9.25
385,9.1875
386,7.1875
387,8.4375
388,8.25
389,8.375
390,7.65625
391,7.28125
392,8.5625
393,9.8125
394,8.875
395,8.0625
396,7.96875
397,7.6875
398,8.5
399,7.25
400,10.875
401,6.375
402,6.25
403,7.65625
404,10.875
405,9.0
406,10.75
407,10.75
408,7.78125
409,8.125
410,5.53125
411,6.15625
412,9.0625
413,8.875
414,5.90625
415,6.53125
416,6.78125
417,8.4375
418,5.15625
419,7.21875
420,9.5625
421,6.84375
422,8.25
423,6.3125
424,7.4375
425,10.5
426,8.75
427,7.8125
428,7.875
429,8.6875
430,9.5
431,7.53125
432,7.0
433,6.75
434,8.25
435,8.9375
436,8.75
437,5.84375
438,9.1875
439,9.9375
440,8.5
441,6.90625
442,5.59375
443,9.125
444,7.8125
445,9.0
446,9.5625
447,6.375
448,10.25
449,9.125
450,7.53125
451,8.4375
452,8.625
453,8.5625
454,8.625
455,8.875
456,8.25
457,8.25
458,8.375
459,7.0625
460,6.0
461,6.75
462,11.125
463,9.8125
464,6.75
465,8.5625
466,6.46875
467,8.8125
468,7.4375
469,6.78125
470,9.875
471,9.0625
472,8.125
473,10.0625
474,7.90625
475,7.46875
476,7.59375
477,7.9375
478,6.28125
479,9.625
480,7.28125
481,10.4375
482,6.875
483,10.3125
484,6.3125
485,7.875
486,7.3125
487,9.625
488,7.46875
489,8.625
490,9.1875
491,7.34375
492,10.625
493,9.875
494,6.6875
495,6.9375
496,9.3125
497,10.4375
498,7.375
499,8.1875
500,8.5625
501,10.0625
502,9.0625
503,7.28125
504,8.3125
505,9.5625
506,6.9375
507,7.84375
508,11.0
509,8.6875
510,7.09375
511,6.40625
512,6.65625
513,7.96875
514,10.0
515,7.5
516,6.375
517,5.78125
518,6.34375
519,9.8125
520,7.40625
521,7.875
522,6.5625
523,6.1875
524,8.75
525,7.53125
526,7.6875
527,7.375
528,9.8125
529,9.125
530,7.75
531,9.0
532,8.625
533,12.4375
534,8.125
