step,nll_loss
0,6.34375
1,4.5
2,4.9375
3,6.0
4,5.40625
5,6.03125
6,7.0625
7,6.6875
8,6.0
9,4.53125
10,4.125
11,4.875
12,6.3125
13,5.75
14,6.25
15,6.03125
16,7.4375
17,6.0625
18,6.4375
19,7.6875
20,6.5625
21,5.40625
22,6.9375
23,3.03125
24,4.53125
25,5.09375
26,5.09375
27,3.640625
28,5.6875
29,6.21875
30,4.0
31,5.5625
32,6.4375
33,4.375
34,6.78125
35,5.0
36,6.21875
37,5.34375
38,6.84375
39,4.71875
40,6.15625
41,5.03125
42,4.5
43,8.0625
44,5.71875
45,5.9375
46,5.625
47,3.703125
48,6.625
49,4.90625
50,3.6875
51,6.125
52,4.65625
53,4.28125
54,5.375
55,7.71875
56,6.46875
57,5.3125
58,6.46875
59,5.96875
60,6.84375
61,4.46875
62,6.21875
63,5.9375
64,5.46875
65,4.34375
66,5.0
67,5.0625
68,5.59375
69,6.09375
70,6.65625
71,4.8125
72,5.09375
73,5.25
74,4.125
75,5.8125
76,5.28125
77,7.3125
78,3.21875
79,5.25
80,5.8125
81,4.9375
82,4.9375
83,6.25
84,5.4375
85,5.9375
86,6.75
87,6.0
88,6.5
89,7.03125
90,4.5
91,4.53125
92,4.53125
93,5.125
94,7.03125
95,5.875
96,6.4375
97,6.0
98,6.21875
99,7.1875
100,4.71875
101,4.90625
102,6.3125
103,6.53125
104,6.09375
105,5.78125
106,5.875
107,6.46875
108,4.5
109,7.5
110,5.0625
111,6.25
112,6.1875
113,5.78125
114,7.84375
115,6.125
116,5.34375
117,6.0625
118,6.8125
119,5.65625
120,3.859375
121,5.875
122,5.75
123,6.15625
124,3.65625
125,6.9375
126,6.75
127,5.3125
128,4.78125
129,6.625
130,4.90625
131,6.03125
132,5.84375
133,6.125
134,5.75
135,3.5625
136,5.28125
137,5.875
138,7.3125
139,6.40625
140,6.65625
141,4.625
142,5.0
143,5.75
144,5.71875
145,5.4375
146,6.0625
147,4.53125
148,4.4375
149,5.53125
150,6.40625
151,6.6875
152,6.1875
153,5.84375
154,6.4375
155,7.6875
156,6.0625
157,5.21875
158,6.53125
159,4.90625
160,3.84375
161,4.875
162,7.3125
163,5.90625
164,4.84375
165,5.8125
166,4.28125
167,5.0625
168,5.625
169,5.09375
170,5.6875
171,5.0625
172,5.03125
173,6.0
174,4.75
175,4.625
176,3.875
177,5.78125
178,6.0
179,5.375
180,5.4375
181,4.65625
182,6.375
183,6.96875
184,5.9375
185,4.0625
186,6.28125
187,5.125
188,4.09375
189,4.9375
190,6.40625
191,5.125
192,6.78125
193,4.78125
194,3.375
195,4.65625
196,6.59375
197,5.9375
198,6.25
199,4.53125
200,7.78125
201,5.03125
202,5.71875
203,6.75
204,4.90625
205,5.78125
206,5.78125
207,4.0
208,4.34375
209,6.09375
210,5.8125
211,6.53125
212,4.21875
213,6.46875
214,5.40625
215,5.875
216,4.625
217,7.375
218,6.375
219,5.34375
220,6.75
221,6.28125
222,6.59375
223,3.671875
224,5.6875
225,3.765625
226,3.703125
227,6.0
228,6.15625
229,4.46875
230,6.75
231,2.96875
232,7.46875
233,6.3125
234,4.15625
235,6.40625
236,4.375
237,5.8125
238,6.15625
239,4.84375
240,6.5625
241,5.09375
242,4.15625
243,4.90625
244,3.859375
245,4.03125
246,6.0625
247,6.875
248,4.65625
249,4.0625
250,3.828125
251,5.0625
252,5.40625
253,4.875
254,5.15625
255,3.75
256,6.59375
257,5.125
258,5.09375
259,5.84375
260,7.09375
261,5.0
262,6.375
263,3.75
264,6.09375
265,5.53125
266,3.4375
267,6.03125
268,4.9375
269,3.984375
270,5.625
271,4.0
272,6.65625
273,6.40625
274,5.625
275,6.09375
276,5.4375
277,6.65625
278,5.90625
279,6.71875
280,3.46875
281,4.4375
282,6.46875
283,6.21875
284,4.3125
285,5.5625
286,5.6875
287,5.75
288,3.734375
289,5.46875
290,5.875
291,5.09375
292,6.84375
293,5.53125
294,6.3125
295,4.53125
296,5.0
297,2.875
298,4.59375
299,4.65625
300,5.0625
301,4.90625
302,5.4375
303,7.0
304,4.1875
305,4.3125
306,7.40625
307,5.125
308,5.21875
309,5.9375
310,7.0625
311,4.125
312,5.59375
313,5.09375
314,4.6875
315,6.96875
316,4.875
317,6.0
318,6.1875
319,4.96875
320,6.21875
321,5.4375
322,5.84375
323,5.75
324,4.125
325,5.53125
326,4.75
327,5.53125
328,6.03125
329,6.53125
330,3.859375
331,4.8125
332,6.15625
333,6.53125
334,3.796875
335,6.34375
336,5.53125
337,5.25
338,5.53125
339,6.6875
340,4.46875
341,4.71875
342,6.28125
343,6.40625
344,4.40625
345,5.375
346,6.09375
347,6.03125
348,6.15625
349,3.890625
350,6.1875
351,3.578125
352,6.40625
353,4.875
354,7.1875
355,5.8125
356,5.15625
357,5.09375
358,6.1875
359,5.25
360,5.9375
361,6.75
362,6.6875
363,6.25
364,5.53125
365,5.9375
366,5.125
367,5.84375
368,4.15625
369,6.875
370,3.78125
371,4.78125
372,4.5
373,6.0
374,5.40625
375,6.25
376,6.46875
377,6.09375
378,6.90625
379,6.84375
380,4.71875
381,5.25
382,6.84375
383,5.625
384,6.8125
385,6.25
386,4.125
387,6.0
388,5.125
389,5.0625
390,4.90625
391,4.6875
392,6.21875
393,7.0625
394,5.96875
395,6.0
396,5.65625
397,5.78125
398,6.625
399,4.96875
400,6.3125
401,4.21875
402,4.4375
403,5.90625
404,5.59375
405,7.0
406,5.3125
407,7.0625
408,5.6875
409,5.65625
410,3.328125
411,4.4375
412,6.71875
413,5.9375
414,3.4375
415,4.34375
416,4.625
417,5.5
418,3.171875
419,4.71875
420,5.53125
421,4.625
422,5.96875
423,4.4375
424,5.375
425,6.71875
426,5.75
427,6.34375
428,4.375
429,7.15625
430,6.28125
431,5.03125
432,5.0625
433,3.828125
434,6.25
435,5.84375
436,5.09375
437,3.453125
438,6.71875
439,6.15625
440,6.5625
441,4.59375
442,3.921875
