step,train_loss
0,15.125
1,12.375
2,11.875
3,15.5625
4,13.625
5,15.375
6,17.25
7,17.25
8,14.3125
9,12.75
10,10.125
11,12.1875
12,15.375
13,15.0
14,14.875
15,14.875
16,19.375
17,14.6875
18,14.6875
19,18.75
20,17.0
21,12.625
22,17.75
23,8.25
24,11.3125
25,12.625
26,13.5
27,10.3125
28,15.3125
29,15.0
30,10.375
31,12.875
32,14.9375
33,11.875
34,16.125
35,12.1875
36,14.625
37,11.4375
38,14.875
39,13.5
40,14.75
41,13.75
42,12.75
43,18.75
44,13.875
45,13.4375
46,14.875
47,9.3125
48,16.75
49,12.25
50,10.25
51,14.625
52,12.125
53,11.0
54,14.6875
55,17.875
56,14.75
57,12.9375
58,14.75
59,15.375
60,16.625
61,12.0
62,15.375
63,14.8125
64,14.375
65,11.4375
66,12.875
67,13.375
68,14.5
69,14.0
70,15.875
71,12.0
72,12.0
73,12.125
74,10.5
75,14.4375
76,14.125
77,16.375
78,9.0625
79,14.5
80,14.875
81,11.0625
82,11.875
83,14.6875
84,14.125
85,14.375
86,16.75
87,13.75
88,16.5
89,16.875
90,11.0
91,11.625
92,11.5
93,12.75
94,17.5
95,15.5625
96,15.8125
97,15.125
98,15.125
99,17.5
100,12.5
101,11.8125
102,15.625
103,15.75
104,14.5
105,14.125
106,14.75
107,16.125
108,10.625
109,16.0
110,13.625
111,15.625
112,15.9375
113,14.375
114,18.75
115,16.625
116,14.25
117,15.0
118,17.0
119,14.5
120,10.0
121,14.5625
122,13.75
123,15.0
124,10.5
125,15.5
126,16.75
127,12.375
128,11.75
129,14.125
130,12.375
131,16.125
132,13.75
133,15.3125
134,13.9375
135,8.5
136,14.0
137,14.0625
138,18.5
139,16.875
140,15.375
141,12.0
142,11.4375
143,14.625
144,12.875
145,14.125
146,15.3125
147,12.25
148,11.1875
149,12.875
150,14.5
151,15.8125
152,14.25
153,14.125
154,15.5625
155,17.5
156,13.0625
157,13.0
158,15.875
159,13.125
160,9.75
161,12.5
162,17.25
163,14.5
164,12.0
165,14.4375
166,10.875
167,13.5
168,14.0
169,12.3125
170,14.625
171,11.75
172,12.0625
173,14.8125
174,13.0
175,11.875
176,10.375
177,13.375
178,15.1875
179,13.375
180,13.625
181,12.5
182,15.1875
183,16.5
184,12.5
185,10.4375
186,14.625
187,13.1875
188,10.0625
189,13.0
190,15.375
191,12.625
192,15.125
193,12.5
194,9.0
195,11.0
196,15.375
197,13.875
198,13.0
199,11.25
200,17.25
201,11.75
202,13.625
203,16.5
204,11.3125
205,13.1875
206,14.75
207,10.375
208,11.875
209,14.75
210,14.6875
211,16.0
212,10.9375
213,14.0
214,13.1875
215,13.75
216,11.875
217,17.75
218,15.375
219,13.0625
220,16.25
221,15.875
222,16.375
223,9.375
224,13.6875
225,9.625
226,8.8125
227,15.75
228,15.5
229,9.875
230,14.8125
231,8.0625
232,17.625
233,15.6875
234,11.875
235,14.25
236,11.25
237,13.75
238,14.625
239,11.25
240,14.375
241,14.0
242,10.5
243,11.375
244,10.0625
245,10.8125
246,15.0625
247,16.25
248,13.0
249,10.375
250,10.0
251,13.1875
252,12.0
253,11.875
254,12.375
255,9.8125
256,16.375
257,13.125
258,12.75
259,15.375
260,16.375
261,13.5
262,16.0
263,10.125
264,14.0
265,12.875
266,9.0625
267,13.75
268,11.5
269,10.75
270,13.0
271,10.0625
272,15.5
273,14.75
274,14.0
275,15.125
276,12.875
277,15.0
278,14.375
279,17.75
280,8.75
281,11.25
282,16.125
283,15.125
284,10.5
285,12.875
286,14.25
287,14.5625
288,9.75
289,13.75
290,13.75
291,13.25
292,16.25
293,14.375
294,14.4375
295,11.75
296,12.875
297,7.625
298,12.75
299,12.1875
300,12.875
301,12.625
302,13.125
303,17.375
304,10.875
305,10.625
306,17.125
307,13.0625
308,12.625
309,13.75
310,15.5625
311,11.5
312,14.75
313,12.1875
314,12.125
315,16.25
316,12.375
317,13.125
318,13.0
319,13.0
320,15.0
321,13.0
322,15.0
323,14.4375
324,11.25
325,14.625
326,11.5
327,13.375
328,14.125
329,14.75
330,10.125
331,11.75
332,15.625
333,16.25
334,9.5625
335,14.0
336,14.25
337,12.8125
338,15.75
339,17.25
340,11.375
341,11.5
342,17.125
343,15.25
344,11.0
345,12.6875
346,14.75
347,15.0
348,14.5
349,10.125
350,14.375
351,8.875
352,15.75
353,12.9375
354,16.375
355,13.875
356,13.0625
357,13.125
358,13.375
359,12.625
360,13.8125
361,17.5
362,15.4375
363,16.875
364,12.75
365,14.125
366,12.3125
367,13.125
368,10.4375
369,16.75
370,10.75
371,13.0
372,10.5
373,14.6875
374,13.0625
375,15.75
376,15.75
377,14.625
378,17.5
379,16.25
380,11.375
381,13.125
382,15.375
383,12.5625
384,16.0
385,15.4375
386,11.3125
387,14.4375
388,13.375
389,13.4375
390,12.5625
391,12.0
392,14.75
393,16.875
394,14.875
395,14.0625
396,13.625
397,13.5
398,15.125
399,12.25
400,17.25
401,10.625
402,10.6875
403,13.5625
404,16.5
405,16.0
406,16.0
407,17.75
408,13.5
409,13.75
410,8.875
411,10.625
412,15.75
413,14.8125
414,9.375
415,10.875
416,11.375
417,13.9375
418,8.3125
419,11.9375
420,15.125
421,11.5
422,14.25
423,10.75
424,12.8125
425,17.25
426,14.5
427,14.125
428,12.25
429,15.875
430,15.75
431,12.5625
432,12.0625
433,10.5625
434,14.5
435,14.75
436,13.875
437,9.3125
438,15.875
439,16.125
440,15.0625
441,11.5
442,9.5
443,14.3125
444,13.25
445,14.9375
446,16.25
447,10.625
448,17.25
449,16.0
450,12.3125
451,13.75
452,14.375
453,14.625
454,15.25
455,14.875
456,14.0625
457,13.25
458,14.0
459,11.875
460,9.625
461,10.875
462,18.25
463,15.5
464,11.25
465,14.3125
466,10.25
467,14.75
468,12.0
469,11.125
470,17.125
471,14.375
472,13.875
473,16.875
474,13.5
475,12.125
476,12.625
477,13.4375
478,10.25
479,15.625
480,11.75
481,16.875
482,11.375
