step,nll_loss
0,3.03125
1,3.296875
2,2.9375
3,3.296875
4,3.21875
5,3.390625
6,3.46875
7,3.265625
8,3.5625
9,2.875
10,2.9375
11,3.265625
12,2.859375
13,2.9375
14,3.703125
15,2.5625
16,2.953125
17,2.96875
18,4.375
19,3.78125
20,2.78125
21,3.34375
22,2.875
23,3.421875
24,2.640625
25,3.140625
26,3.890625
27,3.578125
28,3.5
29,4.03125
30,3.03125
31,2.796875
32,3.21875
33,3.25
34,3.390625
35,2.4375
36,2.90625
37,2.734375
38,3.171875
39,4.46875
40,3.859375
41,3.328125
42,2.8125
43,2.765625
44,3.1875
45,3.09375
46,3.640625
47,3.65625
48,3.0625
49,3.0
50,2.890625
51,3.359375
52,2.765625
53,3.390625
54,2.375
55,4.8125
56,4.0625
57,2.65625
58,3.84375
59,4.78125
60,3.5625
61,2.53125
62,3.53125
63,2.875
64,2.359375
65,3.453125
66,2.890625
67,4.46875
68,4.3125
69,2.828125
70,4.03125
71,3.15625
72,4.0
73,4.0625
74,3.328125
75,2.640625
76,3.078125
77,3.0
78,4.46875
79,2.5625
80,3.015625
81,3.46875
82,2.34375
83,2.78125
84,3.34375
85,2.734375
86,3.859375
87,2.6875
88,2.890625
89,3.0
90,3.765625
91,2.625
92,3.46875
93,2.265625
94,3.46875
95,3.09375
96,3.265625
97,3.125
98,3.3125
99,3.21875
100,3.5
101,3.3125
102,3.296875
103,3.046875
104,3.078125
105,3.375
106,2.078125
107,3.765625
108,3.09375
109,3.796875
110,2.921875
111,2.84375
112,2.96875
113,3.0625
114,3.03125
115,2.96875
116,3.109375
117,3.3125
118,2.375
119,2.5625
120,3.328125
121,3.28125
122,3.0625
123,3.15625
124,3.09375
125,3.171875
126,2.96875
127,2.609375
128,3.078125
129,3.828125
130,3.046875
131,3.3125
132,3.171875
133,2.828125
134,2.84375
135,3.609375
136,3.1875
137,2.96875
138,5.3125
139,3.1875
140,3.59375
141,2.71875
142,3.0625
143,2.96875
144,3.703125
145,2.625
146,2.546875
147,3.734375
148,3.359375
149,3.1875
150,3.21875
151,2.75
152,3.484375
153,2.96875
154,3.75
155,4.0
156,3.375
157,2.75
158,3.46875
159,3.59375
160,3.84375
161,2.5625
162,3.03125
163,3.234375
164,2.890625
165,3.71875
166,2.46875
167,2.5625
168,3.140625
169,3.375
170,3.890625
171,3.578125
172,2.90625
173,3.796875
174,2.625
175,3.171875
176,2.828125
177,3.015625
178,2.890625
179,2.828125
180,2.796875
181,2.9375
182,3.0
183,3.21875
184,3.109375
185,3.28125
186,2.4375
187,1.9765625
188,3.234375
189,3.09375
190,3.203125
191,3.234375
192,2.4375
193,2.453125
194,3.09375
195,2.859375
196,2.8125
197,3.21875
198,3.109375
199,3.796875
200,2.921875
201,2.75
202,2.796875
203,2.109375
204,2.765625
205,2.421875
206,3.28125
207,2.4375
208,3.03125
209,2.65625
210,2.953125
211,2.296875
212,2.8125
213,2.6875
214,2.65625
215,2.328125
216,3.40625
217,3.015625
218,3.125
219,2.953125
220,3.5625
221,2.4375
222,3.21875
223,2.5
224,2.34375
225,2.3125
226,2.359375
227,2.40625
228,2.78125
229,3.109375
230,2.859375
231,2.53125
232,2.046875
233,3.03125
234,2.171875
235,2.59375
236,3.09375
237,2.875
238,2.59375
239,2.53125
240,2.171875
241,2.5625
242,2.1875
243,2.390625
244,2.484375
245,2.40625
246,2.140625
247,2.421875
248,2.515625
249,2.375
250,2.3125
251,2.578125
252,2.9375
253,2.71875
254,1.796875
255,1.640625
256,2.703125
257,2.75
258,2.640625
259,2.34375
260,2.734375
261,2.515625
262,2.921875
263,2.46875
264,2.78125
265,2.328125
266,2.46875
267,2.875
268,2.296875
269,2.078125
270,2.328125
271,1.96875
272,3.421875
273,2.203125
274,2.15625
275,2.71875
276,1.9296875
277,2.1875
278,2.75
279,2.625
280,2.484375
281,3.0625
282,2.265625
283,2.5
284,2.703125
285,2.28125
286,2.703125
287,2.953125
288,2.53125
289,2.546875
290,2.46875
291,3.046875
292,2.375
293,2.859375
294,2.78125
295,2.203125
296,3.625
297,2.984375
298,2.5
299,2.46875
300,2.265625
301,2.171875
302,1.9140625
303,2.3125
304,2.390625
305,2.734375
306,2.171875
307,2.421875
308,2.078125
309,2.28125
310,2.59375
311,2.734375
312,2.1875
313,2.890625
314,2.46875
315,2.53125
316,2.078125
317,2.171875
318,2.421875
319,2.921875
320,2.640625
321,2.15625
322,2.640625
323,2.140625
324,3.015625
325,2.421875
326,2.34375
327,2.125
328,2.625
329,2.390625
330,2.296875
331,2.625
332,1.9765625
333,2.75
334,2.59375
335,2.46875
336,2.40625
337,2.3125
338,2.765625
339,2.734375
340,2.4375
341,3.015625
342,2.71875
343,2.21875
344,2.515625
345,2.359375
346,2.515625
347,2.15625
348,2.203125
349,2.59375
350,2.09375
351,2.390625
352,2.34375
353,2.28125
354,2.5
355,2.296875
356,2.5
357,2.109375
358,1.9609375
359,2.3125
360,3.296875
361,2.09375
362,2.625
363,2.453125
364,2.453125
365,2.0
366,2.890625
367,2.5625
368,2.671875
369,2.859375
370,2.65625
371,2.375
372,2.734375
373,2.9375
374,2.453125
375,2.125
376,2.421875
377,2.75
378,2.546875
379,2.8125
380,2.5625
381,2.421875
382,2.859375
383,2.28125
384,1.8515625
385,2.09375
386,2.296875
387,2.5625
388,2.484375
389,3.328125
390,2.59375
391,2.328125
392,2.625
393,2.3125
394,2.6875
395,2.234375
396,1.9453125
397,1.9140625
398,2.6875
399,3.0
400,2.1875
401,2.59375
402,2.390625
403,2.25
404,2.453125
405,2.140625
406,2.734375
407,2.578125
408,2.96875
409,2.0625
410,2.234375
411,2.421875
412,2.34375
413,2.84375
414,2.46875
415,2.453125
416,2.96875
417,2.046875
418,2.875
419,2.4375
420,2.515625
421,2.109375
422,2.671875
423,2.890625
424,2.390625
425,2.40625
426,2.546875
427,2.71875
428,2.140625
429,2.734375
430,1.9765625
431,2.140625
432,2.6875
433,2.46875
434,2.421875
435,2.296875
436,2.1875
437,2.5625
438,2.1875
439,1.8671875
440,2.234375
441,2.21875
442,2.5
443,2.21875
444,2.234375
445,2.515625
446,2.203125
447,2.921875
448,3.125
449,2.640625
450,2.125
451,2.171875
452,2.609375
453,1.890625
454,1.96875
455,1.78125
456,2.234375
457,2.375
458,2.75
459,2.421875
460,2.953125
461,2.109375
462,2.296875
463,2.234375
464,1.78125
465,2.140625
466,2.09375
467,2.078125
468,2.4375
469,2.515625
470,2.09375
471,2.203125
472,1.8359375
473,2.125
474,2.375
475,1.921875
476,2.40625
477,2.21875
478,2.171875
479,2.25
480,2.875
481,3.265625
482,2.421875
483,2.03125
484,2.46875
485,1.9609375
486,1.953125
487,2.109375
488,2.046875
489,2.140625
490,2.71875
491,2.46875
492,2.40625
493,3.21875
494,2.28125
495,2.53125
496,3.375
497,2.015625
498,2.34375
499,2.3125
500,2.359375
501,2.453125
502,1.90625
503,1.9375
504,2.296875
505,2.0625
506,2.25
507,2.015625
508,2.703125
509,2.53125
510,2.578125
511,2.109375
512,1.59375
513,2.0625
514,2.5625
515,2.859375
516,2.4375
517,2.65625
518,2.265625
519,1.84375
520,2.46875
521,2.40625
522,2.375
523,1.9375
524,2.3125
525,2.28125
526,2.640625
527,1.9921875
528,2.53125
529,2.390625
530,2.71875
531,2.21875
532,2.28125
533,2.125
534,2.21875
535,2.3125
536,1.9375
537,1.8203125
538,2.234375
539,2.453125
540,2.09375
541,2.96875
542,2.609375
543,2.015625
544,2.625
545,2.90625
546,1.9609375
547,2.5
548,2.34375
549,2.875
550,2.34375
551,2.484375
552,2.640625
553,2.359375
554,2.375
555,2.578125
556,1.6953125
557,2.65625
558,2.015625
559,2.015625
560,2.234375
561,2.203125
562,2.234375
563,2.1875
564,2.953125
565,1.8671875
566,2.25
567,2.421875
568,2.578125
569,2.078125
570,2.328125
571,2.328125
572,2.34375
573,1.859375
574,2.125
575,2.46875
576,2.25
577,2.75
578,2.875
579,3.140625
580,2.515625
581,2.015625
582,2.203125
583,2.75
584,1.984375
585,2.59375
586,2.078125
587,2.15625
588,2.703125
589,2.234375
590,2.625
591,2.5
592,2.09375
593,2.109375
594,2.375
595,2.0625
596,2.21875
597,2.0625
598,2.359375
599,2.515625
600,2.953125
601,1.9921875
602,1.90625
603,2.484375
604,2.5
605,2.5
606,1.9921875
607,2.09375
608,2.515625
609,2.28125
610,2.515625
611,2.515625
612,2.421875
613,2.390625
614,2.609375
615,2.0
616,2.15625
617,2.578125
618,2.609375
619,2.03125
620,2.640625
621,2.921875
622,2.71875
623,2.28125
624,3.078125
625,2.84375
626,1.9921875
627,2.25
628,2.15625
629,3.078125
630,1.984375
631,2.5
632,2.5
633,1.78125
634,1.828125
635,2.140625
636,2.234375
637,2.453125
638,2.46875
639,2.09375
640,1.8046875
641,2.265625
642,2.65625
643,2.546875
644,2.75
645,2.546875
646,2.3125
647,2.109375
648,2.234375
649,2.296875
650,1.9921875
651,2.09375
652,2.234375
653,2.640625
654,2.640625
655,2.484375
656,2.15625
657,1.484375
658,2.421875
659,2.1875
660,2.203125
661,2.15625
662,2.765625
663,2.453125
664,2.25
665,2.453125
666,2.4375
667,1.828125
668,2.484375
669,2.1875
670,2.71875
671,1.890625
672,2.078125
673,2.421875
674,2.265625
675,2.359375
676,2.09375
677,1.875
678,2.703125
679,2.390625
680,1.90625
681,2.4375
682,2.875
683,2.796875
684,1.9609375
685,1.8359375
686,2.515625
687,2.4375
688,2.640625
689,2.46875
690,2.59375
691,2.96875
692,2.265625
693,2.453125
694,2.03125
695,2.09375
696,2.28125
697,2.21875
698,2.421875
699,1.6796875
700,2.171875
701,2.9375
702,2.140625
703,2.734375
704,2.65625
705,2.78125
706,2.609375
707,2.109375
708,1.921875
709,2.234375
710,2.078125
711,3.03125
712,1.7578125
713,2.15625
714,2.5625
715,2.453125
716,2.90625
717,1.65625
718,2.09375
719,2.21875
720,2.296875
721,1.953125
722,1.8515625
723,2.25
724,2.203125
725,2.53125
726,2.4375
727,1.921875
728,2.09375
729,2.59375
730,1.7734375
731,1.6171875
732,2.265625
733,2.328125
734,2.546875
735,2.25
736,2.359375
737,2.046875
738,2.671875
739,2.4375
740,2.25
741,2.234375
742,1.796875
743,2.5
744,2.140625
745,1.8828125
746,1.9921875
747,2.109375
748,2.546875
749,2.453125
750,1.4921875
751,2.796875
752,2.21875
753,2.078125
754,2.21875
755,2.75
756,2.96875
757,2.9375
758,1.9375
759,1.9375
760,2.96875
761,2.703125
762,2.234375
763,2.21875
764,1.6875
765,2.578125
766,2.03125
767,2.484375
768,1.9453125
769,2.359375
770,2.390625
771,2.109375
772,2.0625
773,2.328125
774,2.53125
775,2.765625
776,1.96875
777,1.765625
778,2.40625
779,1.7421875
780,2.140625
781,2.1875
782,2.171875
783,2.453125
784,2.28125
785,2.359375
786,1.8515625
787,1.921875
788,2.484375
789,2.265625
790,2.25
791,2.359375
792,1.9375
793,3.09375
794,1.6640625
795,2.421875
796,1.9765625
797,2.0625
798,2.953125
799,2.328125
800,2.671875
801,2.203125
802,2.03125
803,2.609375
804,2.359375
805,2.375
806,2.09375
807,2.1875
808,2.0625
809,2.390625
810,2.109375
811,2.078125
812,2.515625
813,2.46875
814,2.109375
815,2.5
816,2.875
817,2.703125
818,2.484375
819,2.46875
820,2.0625
821,2.53125
822,2.421875
823,2.46875
824,2.421875
825,1.984375
826,2.203125
827,2.515625
828,2.875
829,2.828125
830,2.375
831,2.3125
832,2.015625
833,2.46875
834,1.7734375
835,2.046875
836,2.296875
837,2.140625
838,2.484375
839,2.234375
840,1.65625
841,2.171875
842,2.484375
843,3.4375
844,2.03125
845,2.0
846,1.921875
847,2.0625
848,3.515625
849,2.0
850,2.78125
851,2.546875
852,1.546875
853,2.3125
854,2.9375
855,2.140625
856,2.25
857,2.15625
858,2.0
859,2.125
860,2.546875
861,2.484375
862,2.0625
863,2.28125
864,2.4375
865,2.375
866,2.109375
867,2.546875
868,2.0
869,2.625
870,2.265625
871,2.734375
872,1.6328125
873,1.7890625
874,1.859375
875,2.65625
876,1.859375
877,1.8125
878,2.21875
879,2.1875
880,1.7421875
881,1.9296875
882,2.421875
883,2.4375
884,2.28125
885,2.203125
886,2.03125
887,2.375
888,2.375
889,1.796875
890,2.6875
891,2.171875
892,1.9765625
893,2.390625
894,2.3125
895,1.6484375
896,2.484375
897,2.1875
898,1.875
899,2.328125
900,2.625
901,1.625
902,2.296875
903,2.09375
904,2.453125
905,2.90625
906,2.65625
907,2.265625
908,1.625
909,2.578125
910,2.03125
911,2.265625
912,2.03125
913,2.859375
914,2.015625
915,2.265625
916,2.125
917,2.3125
918,2.359375
919,2.1875
920,2.25
921,1.65625
922,2.21875
923,1.5859375
924,2.59375
925,2.296875
926,2.71875
927,2.5625
928,2.359375
929,2.71875
930,1.75
931,2.203125
932,2.59375
933,2.265625
934,1.6875
935,2.59375
936,2.15625
937,2.28125
938,2.078125
939,1.9765625
940,2.234375
941,1.7109375
942,1.8046875
943,2.765625
944,1.7265625
945,2.15625
946,1.890625
947,2.0625
948,1.875
949,2.203125
950,2.390625
951,2.234375
952,2.046875
953,1.875
954,2.390625
955,2.09375
956,1.828125
957,2.25
958,2.15625
959,2.5
960,2.796875
961,2.921875
962,2.40625
963,1.9765625
964,1.8671875
965,2.765625
966,3.0625
967,1.8828125
968,2.75
969,2.0625
970,1.7734375
971,1.46875
972,2.234375
973,1.7265625
974,2.109375
975,2.515625
976,2.578125
977,2.4375
978,1.875
979,2.40625
980,1.953125
981,2.8125
982,2.359375
983,1.515625
984,1.875
985,2.140625
986,2.125
987,2.046875
988,2.140625
989,2.0
990,2.46875
991,2.125
992,2.359375
993,2.453125
994,2.5
995,2.421875
996,1.7890625
997,2.421875
998,2.234375
999,2.09375
1000,2.484375
1001,1.5859375
1002,2.453125
1003,2.46875
1004,2.53125
1005,3.046875
1006,2.15625
1007,2.5
1008,1.6875
1009,1.796875
1010,2.234375
1011,2.5
1012,2.546875
1013,2.140625
1014,2.734375
1015,2.15625
1016,1.6796875
1017,2.171875
1018,2.75
1019,1.859375
1020,1.8671875
1021,2.875
1022,1.4609375
1023,2.734375
1024,2.265625
1025,2.1875
1026,2.734375
1027,1.6953125
1028,2.625
1029,2.359375
1030,1.921875
1031,2.421875
1032,1.9375
1033,2.0
1034,2.96875
1035,2.609375
1036,2.203125
1037,2.3125
1038,2.40625
1039,2.0
1040,2.28125
1041,3.453125
1042,2.125
1043,2.203125
1044,2.390625
1045,1.9453125
1046,2.203125
1047,2.046875
1048,1.875
1049,2.1875
1050,2.515625
1051,2.09375
1052,2.21875
1053,1.65625
1054,1.9296875
1055,1.8203125
1056,2.09375
1057,2.390625
1058,2.046875
1059,1.84375
1060,2.515625
1061,2.109375
