step,nll_loss
0,4.28125
1,3.546875
2,3.453125
3,3.46875
4,4.90625
5,3.71875
6,3.40625
7,3.1875
8,3.765625
9,3.140625
10,3.0
11,4.59375
12,3.96875
13,3.609375
14,3.296875
15,3.5625
16,3.71875
17,3.75
18,4.4375
19,3.5
20,2.9375
21,3.046875
22,4.875
23,3.84375
24,4.0625
25,3.515625
26,3.9375
27,3.546875
28,3.484375
29,3.453125
30,3.71875
31,3.78125
32,3.546875
33,4.09375
34,3.734375
35,4.09375
36,3.296875
37,4.1875
38,3.953125
39,4.75
40,3.515625
41,2.984375
42,3.0625
43,3.40625
44,3.71875
45,3.265625
46,3.390625
47,3.890625
48,3.65625
49,3.1875
50,3.765625
51,4.0
52,4.6875
53,3.78125
54,4.15625
55,3.421875
56,3.84375
57,4.46875
58,4.0
59,3.625
60,3.640625
61,2.765625
62,3.34375
63,2.59375
64,4.125
65,3.953125
66,4.0
67,2.9375
68,3.046875
69,4.4375
70,3.953125
71,3.734375
72,2.984375
73,2.96875
74,4.53125
75,3.65625
76,3.09375
77,4.28125
78,4.125
79,3.875
80,4.15625
81,3.328125
82,5.71875
83,3.390625
84,3.421875
85,4.625
86,3.921875
87,3.734375
88,3.421875
89,3.203125
90,3.578125
91,3.84375
92,3.5
93,4.53125
94,3.890625
95,3.171875
96,3.5625
97,2.515625
98,3.234375
99,4.0
100,3.484375
101,3.625
102,3.5625
103,3.5
104,3.4375
105,5.28125
106,3.34375
107,3.71875
108,3.109375
109,3.109375
110,3.828125
111,4.59375
112,3.71875
113,4.40625
114,4.09375
115,3.46875
116,3.59375
117,3.078125
118,3.53125
119,4.0
120,3.453125
121,3.625
122,3.9375
123,4.15625
124,3.859375
125,4.34375
126,4.03125
127,4.375
128,3.46875
129,4.3125
130,3.65625
131,4.375
132,3.046875
133,4.21875
134,3.1875
135,2.9375
136,4.125
137,2.953125
138,3.34375
139,3.921875
140,3.90625
141,4.15625
142,4.03125
143,3.8125
144,3.109375
145,3.109375
146,2.640625
147,2.8125
148,3.28125
149,2.953125
150,3.859375
151,3.1875
152,3.109375
153,3.25
154,3.15625
155,4.28125
156,4.46875
157,3.453125
158,3.59375
159,3.203125
160,3.4375
161,3.59375
162,3.828125
163,3.140625
164,4.03125
165,4.375
166,3.59375
167,3.296875
168,4.4375
169,3.984375
170,4.65625
171,3.890625
172,3.734375
173,4.28125
174,3.765625
175,3.1875
176,3.6875
177,3.671875
178,4.03125
179,4.0625
180,4.8125
181,3.375
182,3.875
183,3.96875
184,3.5
185,3.546875
186,2.859375
187,3.84375
188,2.953125
189,3.328125
190,3.9375
191,4.15625
192,3.59375
193,3.5
194,3.40625
195,3.0
196,3.640625
197,3.75
198,3.6875
199,4.65625
200,3.921875
201,3.671875
202,3.796875
203,4.03125
204,3.25
205,4.09375
206,3.65625
207,4.1875
208,3.4375
209,3.734375
210,3.484375
211,3.3125
212,3.578125
213,3.390625
214,3.3125
215,2.859375
216,4.71875
217,3.5625
218,3.375
219,3.703125
220,3.859375
221,3.5625
222,3.203125
223,5.1875
224,3.328125
225,4.1875
226,2.875
227,3.515625
228,3.578125
229,3.609375
230,3.515625
231,3.75
232,3.15625
233,3.671875
234,3.359375
235,2.9375
236,3.28125
237,3.984375
238,4.3125
239,5.71875
240,3.53125
241,3.921875
242,2.65625
243,3.25
244,3.4375
245,4.34375
246,3.640625
247,3.890625
248,3.21875
249,2.828125
250,3.171875
251,3.03125
252,3.734375
253,4.0
254,3.015625
255,4.03125
256,3.609375
257,4.09375
258,3.515625
259,3.921875
260,3.421875
261,4.125
262,3.828125
263,3.640625
264,3.328125
265,3.34375
266,3.359375
267,3.71875
268,2.984375
269,3.3125
270,3.6875
271,3.5
272,4.40625
273,3.375
274,3.609375
275,3.484375
276,4.125
277,3.703125
278,2.96875
279,3.3125
280,4.5625
281,3.140625
282,2.71875
283,3.75
284,3.3125
285,3.625
286,2.640625
287,4.0625
288,2.6875
289,3.375
290,3.59375
291,3.96875
292,3.71875
293,2.828125
294,3.3125
295,4.5
296,3.484375
297,4.6875
298,3.09375
299,3.546875
300,3.953125
301,3.578125
302,3.796875
303,4.34375
304,3.546875
305,5.625
306,2.71875
307,3.03125
308,3.296875
309,3.6875
310,3.0
311,4.4375
312,2.890625
313,3.5
314,5.3125
315,3.5625
316,3.46875
317,3.046875
318,4.375
319,3.53125
320,3.796875
321,3.375
322,3.671875
323,3.703125
324,3.015625
325,3.703125
326,2.9375
327,3.921875
328,3.3125
329,3.328125
330,2.8125
331,4.15625
332,4.375
333,3.0625
334,2.78125
335,4.71875
336,2.921875
337,3.484375
338,4.125
339,3.609375
340,3.25
341,3.125
342,4.09375
343,3.71875
344,4.0
345,3.234375
